Nominal Pipe size in.,"Globe valve or
ball check valve",Angle valve,Swing check valve,Plug cock,Gate or ball valve,"45°
ell (Welded)","45°
ell (Threaded)","Short
rad.
Ell (Welded)","Short
rad.
Ell (Threaded)","Long
rad.
Ell (Welded)","Long
rad.
Ell (Threaded)","Hard
T (Welded)","Hard
T (Threaded)","Soft
T (Welded)","Soft
T (Threaded)",90° miter bends (2 miter),90° miter bends (3 miter),90° miter bends (4 miter),Enlargement-Sudden-d/D=0.25,Enlargement-Sudden-d/D=0.5,Enlargement-Sudden-d/D=0.75,Enlargement-Std. red.-d/D=0.5,Enlargement-Std. red.-d/D=0.75,Contraction-Sudden-d/D=0.25,Contraction-Sudden-d/D=0.5,Contraction-Sudden-d/D=0.75,Contraction-Std. red.-d/D=0.5,Contraction-Std. red.-d/D=0.75
1.5,55,26,13,7,1,1,2,3,5,2,3,8,9,2,3,,,,5,3,1,4,1,3,2,1,1,
2,70,33,17,14,2,2,3,4,5,3,4,10,11,3,4,,,,7,4,1,5,1,3,3,1,1,
2.5,80,40,20,11,2,2,,5,,3,,12,,3,,,,,8,5,2,6,2,4,3,2,2,
3,100,50,25,17,2,2,2,6,6,4,4,14,14,4,4,,,,10,6,2,8,2,5,4,2,2,
4,130,65,32,30,3,3,3,7,7,5,5,19,19,5,5,,,,12,8,3,10,3,6,5,3,3,
6,200,100,48,70,4,4,4,11,11,8,8,28,28,8,8,,,,18,12,4,14,4,9,7,4,4,1
8,260,125,64,120,6,6,6,15,15,9,9,37,37,9,9,,,,25,16,5,19,5,12,9,5,5,2
10,330,160,80,170,7,7,7,18,18,12,12,47,47,12,12,,,,31,20,7,24,7,15,12,6,6,2
12,400,190,95,170,9,9,9,22,22,14,14,55,55,14,14,28,21,20,37,24,8,28,8,18,14,7,7,2
14,450,210,105,80,10,10,10,26,26,16,16,62,62,16,16,32,24,22,42,26,9,,,20,16,8,,
16,500,240,120,145,11,11,11,29,29,18,18,72,72,18,18,38,27,24,47,30,10,,,24,18,9,,
18,550,280,140,160,12,12,12,33,33,20,20,82,82,20,20,42,30,28,53,35,11,,,26,20,10,,
20,650,300,155,210,14,14,14,36,36,23,23,90,90,23,23,46,33,32,60,38,13,,,30,23,11,,
22,688,335,170,225,15,15,15,40,40,25,25,100,100,25,25,52,36,34,65,42,14,,,32,25,12,,
24,750,370,185,254,16,16,16,44,44,27,27,110,110,27,27,56,39,36,70,46,15,,,35,27,13,,
30,,,,312,21,21,21,55,55,40,40,140,140,40,40,70,51,44,,,,,,,,,,
36,,,,,25,66,25,66,66,47,47,170,170,47,47,84,60,52,,,,,,,,,,
42,,,,,30,77,30,77,77,55,55,200,200,55,55,98,69,64,,,,,,,,,,
48,,,,,35,88,35,88,88,65,65,220,220,65,65,112,81,72,,,,,,,,,,
54,,,,,40,99,40,99,99,70,70,250,250,70,70,126,90,80,,,,,,,,,,
60,,,,,45,110,45,110,110,80,80,260,260,80,80,190,99,92,,,,,,,,,,
